country,year,subgroup,subgroup_level,pp_female_ceo
Uzbekistan,2019.0,,All,12.4
Uzbekistan,2019.0,Size,Small (5-19),15.1
Uzbekistan,2019.0,Size,Medium (20-99),6.8
Uzbekistan,2019.0,Size,Large (100+),2.5
Vanuatu,2023.0,,All,39.7
Vanuatu,2023.0,Size,Small (5-19),35.3
Vanuatu,2023.0,Size,Medium (20-99),49.2
Vanuatu,2023.0,Size,Large (100+),n.a.
"Venezuela, R.B.",2010.0,,All,31.1
"Venezuela, R.B.",2010.0,Size,Small (5-19),34.6
"Venezuela, R.B.",2010.0,Size,Medium (20-99),25.5
"Venezuela, R.B.",2010.0,Size,Large (100+),4.4
Viet Nam,2023.0,,All,19.4
Viet Nam,2023.0,Size,Medium (20-99),22.5
Viet Nam,2023.0,Size,Small (5-19),18.9
Viet Nam,2023.0,Size,Large (100+),10.6
West Bank and Gaza,2023.0,,All,2.7
West Bank and Gaza,2023.0,Size,Small (5-19),1.2
West Bank and Gaza,2023.0,Size,Medium (20-99),8.7
West Bank and Gaza,2023.0,Size,Large (100+),0
"Yemen, Rep.",2013.0,,All,1.6
"Yemen, Rep.",2013.0,Size,Small (5-19),1.9
"Yemen, Rep.",2013.0,Size,Medium (20-99),0
"Yemen, Rep.",2013.0,Size,Large (100+),0
Zambia,2019.0,,All,12.9
Zambia,2019.0,Size,Small (5-19),13.5
Zambia,2019.0,Size,Medium (20-99),12.6
Zambia,2019.0,Size,Large (100+),12.1
Zimbabwe,2016.0,,All,16.3
Zimbabwe,2016.0,Size,Small (5-19),18.8
Zimbabwe,2016.0,Size,Medium (20-99),7.8
Zimbabwe,2016.0,Size,Large (100+),1.8
