Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Percent of firms with women participation in ownership,Percent of firms with majority women ownership,Percent of firms with a woman top manager,[B-READY] Percent of firms owned or managed by women among those that held a government contract in last 3 years,Proportion of permanent full-time workers that are women (%),Proportion of permanent full-time production workers that are women (%)*,Proportion of permanent full-time non-production workers that are women (%)*,Proportion of women workers offered formal training over last fiscal year (%)*,"Proportion of women workers offered formal training over last fiscal year (%, only service sector)"
"Congo, Dem. Rep.",2010,Sector,Services,Retail,Average,43.1,17.2,22.6,,21.3,,,,
"Congo, Dem. Rep.",2010,Sector,Services,Other Services,Average,41.3,8.1,12.7,,20.2,,,,
"Congo, Dem. Rep.",2010,Size,,Small (5-19),Average,38.3,12.9,17.9,,20.8,8.2,24.4,,
"Congo, Dem. Rep.",2010,Size,,Medium (20-99),Average,34.4,2.4,1,,12,10.6,17.6,,
"Congo, Dem. Rep.",2010,Size,,Large (100+),Average,53.5,2.1,2,,12.4,4.8,20.1,,
"Congo, Dem. Rep.",2010,Gender of Top Manager,,Top manager is female,Average,96.5,65.8,100,,44.4,48.4,42,,
"Congo, Dem. Rep.",2010,Gender of Top Manager,,Top manager is male,Average,30.3,1.6,0,,14.5,6.2,20.7,,
"Congo, Dem. Rep.",2013,,,,Average,15.1,8,10.8,,18.5,11.7,19.8,,
"Congo, Dem. Rep.",2013,Sector,Manufacturing,All,Average,17.7,10.8,13.8,,14.6,11.7,19.8,,
"Congo, Dem. Rep.",2013,Sector,Manufacturing,Manufacturing,Average,17.7,10.8,13.8,,14.6,11.7,19.8,,
"Congo, Dem. Rep.",2013,Sector,Services,All,Average,14.2,7.1,9.8,,19.8,,,,
"Congo, Dem. Rep.",2013,Sector,Services,Retail,Average,21,12.5,15,,22.6,,,,
"Congo, Dem. Rep.",2013,Sector,Services,Other Services,Average,6.9,1.2,4.3,,16.7,,,,
"Congo, Dem. Rep.",2013,Size,,Small (5-19),Average,14.6,9.1,12.2,,19.3,14.9,19.4,,
"Congo, Dem. Rep.",2013,Size,,Medium (20-99),Average,17.6,2,3.4,,15.2,5.5,22.5,,
"Congo, Dem. Rep.",2013,Size,,Large (100+),Average,16.7,3.9,6.6,,9.3,4.1,11.9,,
"Congo, Dem. Rep.",2013,Gender of Top Manager,,Top manager is female,Average,86.4,70.7,100,,46.7,57.8,35.8,,
"Congo, Dem. Rep.",2013,Gender of Top Manager,,Top manager is male,Average,6.5,0.7,0,,15,4.5,18.2,,
"Congo, Rep.",2009,,,,Average,31.8,4,17.2,,24.8,,,,
"Congo, Rep.",2009,Sector,Manufacturing,All,Average,37.9,0,13.2,,19.3,,,,
"Congo, Rep.",2009,Sector,Manufacturing,Manufacturing,Average,37.9,0,13.2,,19.3,,,,
"Congo, Rep.",2009,Sector,Services,All,Average,30.9,4.8,18,,25.9,,,,
"Congo, Rep.",2009,Sector,Services,Services,Average,30.9,4.8,18,,25.9,,,,
"Congo, Rep.",2009,Size,,Small (5-19),Average,49.4,5.7,28.4,,28.3,,,,
"Congo, Rep.",2009,Size,,Medium (20-99),Average,9.8,0,9.7,,21.3,,,,
"Congo, Rep.",2009,Size,,Large (100+),Average,n.a.,7.1,0,,13.1,,,,
"Congo, Rep.",2009,Gender of Top Manager,,Top manager is female,Average,56.2,20.3,100,,38.8,,,,
"Congo, Rep.",2009,Gender of Top Manager,,Top manager is male,Average,11.1,1.3,0,,19.9,,,,
"Congo, Rep.",2024,,,,Average,22.9,13.7,19.3,64.8,26.6,31.6,32.7,20.6,50.1
"Congo, Rep.",2024,Sector,Manufacturing,All,Average,25.4,21.9,16.4,n.a.,31.5,31.6,32.7,20.6,
"Congo, Rep.",2024,Sector,Manufacturing,Manufacturing,Average,25.4,21.9,16.4,n.a.,31.5,31.6,32.7,20.6,
"Congo, Rep.",2024,Sector,Services,All,Average,21.8,10.2,20.6,62.5,24.4,,,,50.1
"Congo, Rep.",2024,Sector,Services,Retail,Average,28.3,11,32.1,n.a.,31.5,,,,68.3
"Congo, Rep.",2024,Sector,Services,Other Services,Average,18.7,9.9,15.2,63.4,21.6,,,,42.9
"Congo, Rep.",2024,Size,,Small (5-19),Average,20.3,17,18.2,n.a.,27.3,28.4,25.7,6.5,25
"Congo, Rep.",2024,Size,,Medium (20-99),Average,27.3,7.9,17.5,31.8,31.5,43,43.1,23,56.7
"Congo, Rep.",2024,Size,,Large (100+),Average,31.5,2.6,29.6,64.4,12.2,23.1,22.2,57.5,71.6
"Congo, Rep.",2024,Gender of Top Manager,,Top manager is female,Average,76.1,53.1,100,n.a.,60.8,95.9,n.a.,15.9,69.6
"Congo, Rep.",2024,Gender of Top Manager,,Top manager is male,Average,10,4.2,0,24.2,19.8,20.3,29.5,22,43.2
Costa Rica,2010,,,,Average,43.5,,15.4,,29.6,19,41.9,,
Costa Rica,2010,Sector,Manufacturing,All,Average,39.3,,8.8,,23.6,19,41.9,,
Costa Rica,2010,Sector,Manufacturing,"Minerals, Metals, Machinery & Equipment",Average,60.1,,2.5,,12.7,3.6,41,,
Costa Rica,2010,Sector,Manufacturing,Other Manufacturing,Average,32.5,,10.9,,27.3,23.3,42.1,,
Costa Rica,2010,Sector,Services,All,Average,44.7,,17.3,,31.3,,,,
Costa Rica,2010,Sector,Services,Retail,Average,39.6,,15.4,,30.1,,,,
Costa Rica,2010,Sector,Services,Hotels & Restaurants,Average,53,,27,,50.2,,,,
Costa Rica,2010,Sector,Services,Other Services,Average,43.6,,13.9,,23.6,,,,
Costa Rica,2010,Size,,Medium (20-99),Average,44.6,,13.6,,28.5,19,36.7,,
Costa Rica,2010,Size,,Small (5-19),Average,47.5,,17.1,,31.7,19,49.9,,
Costa Rica,2010,Size,,Large (100+),Average,18.4,,13.5,,22.6,18.8,29.8,,
Costa Rica,2010,Gender of Top Manager,,Top manager is female,Average,77.7,,100,,46.3,46,64.9,,
Costa Rica,2010,Gender of Top Manager,,Top manager is male,Average,37.3,,0,,26.5,15.8,39.5,,
Costa Rica,2023,,,,Average,53,11.3,25.3,61.7,36,33.4,48.1,54.8,60.9
Costa Rica,2023,Sector,Manufacturing,All,Average,68.9,13.4,37.3,84.5,34.7,33.4,48.1,54.8,
Costa Rica,2023,Sector,Manufacturing,Manufacturing,Average,68.9,13.4,37.3,84.5,34.7,33.4,48.1,54.8,
Costa Rica,2023,Sector,Services,All,Average,49.8,10.9,22.8,58.6,36.3,,,,60.9
Costa Rica,2023,Sector,Services,Retail,Average,47,13.2,24.7,76.6,38.4,,,,81
Costa Rica,2023,Sector,Services,Other Services,Average,51.3,9.7,21.7,52.4,35.1,,,,56.1
Costa Rica,2023,Size,,Small (5-19),Average,50.9,14.6,26.3,50.1,38.7,32.3,52.9,42.7,59.1
Costa Rica,2023,Size,,Medium (20-99),Average,55.2,8,29.6,63,34.9,34,44,66.2,59.4
Costa Rica,2023,Size,,Large (100+),Average,56.5,5,7.4,80.7,25.9,36.4,38.7,70.9,68.3
Costa Rica,2023,Gender of Top Manager,,Top manager is female,Average,86.5,37.5,100,100,48.2,40.8,46.8,57.4,76.8
Costa Rica,2023,Gender of Top Manager,,Top manager is male,Average,41.9,2.7,0,48.7,32,28.5,49,53.9,55.7
Cote d'Ivoire,2009,,,,Average,61.9,20.2,,,30,16.7,22.9,,
Cote d'Ivoire,2009,Sector,Manufacturing,All,Average,54.1,12.9,,,19,16.7,22.9,,
Cote d'Ivoire,2009,Sector,Manufacturing,Manufacturing,Average,54.1,12.9,,,19,16.7,22.9,,
Cote d'Ivoire,2009,Sector,Services,All,Average,64,22.7,,,34.1,,,,
Cote d'Ivoire,2009,Sector,Services,Retail,Average,60.5,21.7,,,30,,,,
Cote d'Ivoire,2009,Sector,Services,Other Services,Average,65.6,23.2,,,35.8,,,,
Cote d'Ivoire,2009,Size,,Small (5-19),Average,67,21.2,,,32.9,21.3,36.9,,
Cote d'Ivoire,2009,Size,,Medium (20-99),Average,44.5,16.2,,,12.8,6.8,3.8,,
Cote d'Ivoire,2009,Size,,Large (100+),Average,7.1,1.5,,,9.8,2,29.9,,
Cote d'Ivoire,2016,,,,Average,24.4,13,14.3,,22.7,17.1,26,,
Cote d'Ivoire,2016,Sector,Manufacturing,All,Average,19.9,13.5,13.6,,19.4,17.1,26,,
Cote d'Ivoire,2016,Sector,Manufacturing,Manufacturing,Average,19.9,13.5,13.6,,19.4,17.1,26,,
Cote d'Ivoire,2016,Sector,Services,All,Average,25.8,12.8,14.5,,23.7,,,,
Cote d'Ivoire,2016,Sector,Services,Retail,Average,28,17.7,15.7,,24,,,,
Cote d'Ivoire,2016,Sector,Services,Other Services,Average,24.2,9.4,13.7,,23.5,,,,
Cote d'Ivoire,2016,Size,,Small (5-19),Average,24.1,17.4,18.2,,23.9,20.1,26.2,,
Cote d'Ivoire,2016,Size,,Medium (20-99),Average,25.4,2.8,7.3,,21.2,12.8,32.9,,
Cote d'Ivoire,2016,Size,,Large (100+),Average,23.3,2,0,,14.6,8.5,18.6,,
Cote d'Ivoire,2016,Gender of Top Manager,,Top manager is female,Average,93,83.4,100,,53.3,64.9,n.a.,,
Cote d'Ivoire,2016,Gender of Top Manager,,Top manager is male,Average,13,1.1,0,,17.2,8.2,25.2,,
Cote d'Ivoire,2023,,,,Average,22.5,9.5,11.6,21.2,37,39.5,55.8,38,27.5
Cote d'Ivoire,2023,Sector,Manufacturing,All,Average,11.8,6.1,6.7,0,43,39.5,55.8,38,
Cote d'Ivoire,2023,Sector,Manufacturing,Food,Average,11.3,6.1,8,n.a.,47.6,43.5,56.4,53.8,
Cote d'Ivoire,2023,Sector,Manufacturing,Other Manufacturing,Average,11.9,6,6.2,0,41.2,38,55.6,28.4,
Cote d'Ivoire,2023,Sector,Services,All,Average,25,10.3,12.7,24.3,35.7,,,,27.5
Cote d'Ivoire,2023,Sector,Services,Retail,Average,26.2,15.4,19,n.a.,45.3,,,,26.3
Cote d'Ivoire,2023,Sector,Services,Hotels,Average,21.5,7.4,8.1,n.a.,35.5,,,,13.9
Cote d'Ivoire,2023,Sector,Services,Other Services,Average,24.7,8,10,38.6,31,,,,29.5
Cote d'Ivoire,2023,Size,,Small (5-19),Average,21.3,14.2,17.4,3.6,37.2,53.1,64.8,37,26.9
Cote d'Ivoire,2023,Size,,Medium (20-99),Average,21.2,4.2,5.1,n.a.,37.1,25.1,45.8,46.6,29.4
Cote d'Ivoire,2023,Size,,Large (100+),Average,33,0,0.5,48.2,35.7,36.7,55,24.2,20
Cote d'Ivoire,2023,Gender of Top Manager,,Top manager is female,Average,93.2,79.4,100,n.a.,48.6,52.1,66.4,12.6,34.2
Cote d'Ivoire,2023,Gender of Top Manager,,Top manager is male,Average,13.2,0.1,0,19.9,35.5,38.5,55,41.7,26.3
Croatia,2007,,,,Average,33.5,,,,36.5,31.3,50.2,,
Croatia,2007,Sector,Manufacturing,All,Average,39.8,,,,36.5,31.3,50.2,,
Croatia,2007,Sector,Manufacturing,Food,Average,52.2,,,,35.8,26.6,55.5,,
Croatia,2007,Sector,Manufacturing,Garments,Average,51.1,,,,81.8,87.9,57.5,,
Croatia,2007,Sector,Manufacturing,Fabricated Metal Products,Average,21.7,,,,16.9,8,50.3,,
Croatia,2007,Sector,Manufacturing,Other Manufacturing,Average,36.8,,,,40.3,40.7,39.9,,
Croatia,2007,Sector,Services,All,Average,31,,,,,,,,
Croatia,2007,Sector,Services,Retail,Average,48.6,,,,,,,,
Croatia,2007,Sector,Services,Other Services,Average,25.9,,,,,,,,
Croatia,2007,Size,,Small (5-19),Average,38.8,,,,29.6,25.5,36.5,,
Croatia,2007,Size,,Medium (20-99),Average,26.6,,,,45.6,38.2,66.9,,
Croatia,2007,Size,,Large (100+),Average,34.9,,,,38.9,36.4,54,,
Croatia,2013,,,,Average,36.3,16.5,20.1,,35.2,41.3,41.1,,
Croatia,2013,Sector,Manufacturing,All,Average,30.5,13.9,18.4,,39.6,41.3,41.1,,
Croatia,2013,Sector,Manufacturing,Manufacturing,Average,30.5,13.9,18.4,,39.6,41.3,41.1,,
Croatia,2013,Sector,Services,All,Average,38.6,17.4,20.8,,33.6,,,,
Croatia,2013,Sector,Services,Retail,Average,46.4,36.7,42.2,,64.3,,,,
Croatia,2013,Sector,Services,Other Services,Average,37.1,13.6,16.6,,27.6,,,,
Croatia,2013,Size,,Small (5-19),Average,39.3,19.8,23.4,,36.1,45.5,39.1,,
Croatia,2013,Size,,Medium (20-99),Average,27.4,9.4,14.2,,31.4,33.2,43.1,,
Croatia,2013,Size,,Large (100+),Average,42.2,3.7,6.8,,44.9,45.2,49.3,,
Croatia,2013,Gender of Top Manager,,Top manager is female,Average,81.8,57.7,100,,53.9,60,55.5,,
Croatia,2013,Gender of Top Manager,,Top manager is male,Average,24.9,5.9,0,,30.5,37.6,38.2,,
Croatia,2019,,,,Average,31.7,16.8,27,,44.8,27.9,55.3,,
Croatia,2019,Sector,Manufacturing,All,Average,25,11.3,19.3,,38.3,27.9,55.3,,
Croatia,2019,Sector,Manufacturing,Manufacturing,Average,25,11.3,19.3,,38.3,27.9,55.3,,
Croatia,2019,Sector,Services,All,Average,33.8,18.6,29.6,,47,,,,
Croatia,2019,Sector,Services,Retail,Average,43.4,26.3,36.7,,59.3,,,,
Croatia,2019,Sector,Services,Other Services,Average,22.5,9.5,21.2,,32.5,,,,
Croatia,2019,Size,,Small (5-19),Average,28.5,18.7,29.3,,45.7,27.4,58,,
Croatia,2019,Size,,Medium (20-99),Average,39.6,15.2,24.8,,42.5,22.4,50.1,,
Croatia,2019,Size,,Large (100+),Average,31.7,4.8,14.2,,45.6,41.9,54,,
Croatia,2019,Gender of Top Manager,,Top manager is female,Average,75.6,57.1,100,,67.1,46.3,69.1,,
Croatia,2019,Gender of Top Manager,,Top manager is male,Average,15.4,1.8,0,,36.6,23.4,51.7,,
Croatia,2023,,,,Average,34.3,18.5,26.2,46.9,35.6,24,65.5,40.7,45.3
Croatia,2023,Sector,Manufacturing,All,Average,35.5,17,25,38.5,36.6,24,65.5,40.7,
Croatia,2023,Sector,Manufacturing,Manufacturing,Average,35.5,17,25,38.5,36.6,24,65.5,40.7,
Croatia,2023,Sector,Services,All,Average,34,19,26.6,48.1,35.3,,,,45.3
Croatia,2023,Sector,Services,Retail,Average,53.3,39.3,59.7,80,55.2,,,,56.4
Croatia,2023,Sector,Services,Hotels,Average,34.2,16.5,23,n.a.,57.5,,,,67.8
Croatia,2023,Sector,Services,Other Services,Average,30.6,15.6,21,42.6,30.9,,,,42.7
Croatia,2023,Size,,Small (5-19),Average,33,20,28.7,45,36.5,23.4,68.5,35.3,45
Croatia,2023,Size,,Medium (20-99),Average,36.2,16.4,21.2,57.7,32.6,23.6,61.4,30.5,42.1
Croatia,2023,Size,,Large (100+),Average,48.3,2.6,11.4,34.2,37.3,33.5,53.8,88.1,60.3
Croatia,2023,Gender of Top Manager,,Top manager is female,Average,74,56.5,100,100,50.8,30.9,73.1,54.3,42.4
Croatia,2023,Gender of Top Manager,,Top manager is male,Average,20.2,4.6,0,26,30.2,21.8,62.8,37.1,46.2
Cyprus,2019,,,,Average,45.1,7.7,8.2,,33.9,27.7,42.6,,
Cyprus,2019,Sector,Manufacturing,All,Average,39.1,4.6,6.1,,34.2,27.7,42.6,,
Cyprus,2019,Sector,Manufacturing,Manufacturing,Average,39.1,4.6,6.1,,34.2,27.7,42.6,,
Cyprus,2019,Sector,Services,All,Average,47.1,8.7,8.9,,33.8,,,,
Cyprus,2019,Sector,Services,Retail,Average,57.1,17.6,10.2,,52.9,,,,
Cyprus,2019,Sector,Services,Other Services,Average,44.3,6.2,8.5,,28.5,,,,
Cyprus,2019,Size,,Small (5-19),Average,49.3,7.4,7.6,,31.4,23.7,41.4,,
Cyprus,2019,Size,,Medium (20-99),Average,29.2,10.2,12.2,,41.6,39.9,43.7,,
Cyprus,2019,Size,,Large (100+),Average,42.5,2.9,3,,42.5,44.7,59.6,,
Cyprus,2019,Gender of Top Manager,,Top manager is female,Average,69.3,47.5,100,,60.8,n.a.,n.a.,,
Cyprus,2019,Gender of Top Manager,,Top manager is male,Average,42.9,4.1,0,,31.5,25.3,42.7,,
Czechia,2009,,,,Average,25,,18.4,,31.5,25.5,38.9,,
Czechia,2009,Sector,Manufacturing,All,Average,23.7,,22.4,,29,25.5,38.9,,
Czechia,2009,Sector,Manufacturing,Manufacturing,Average,23.7,,22.4,,29,25.5,38.9,,
Czechia,2009,Sector,Services,All,Average,25.6,,16.7,,32.6,,,,
Czechia,2009,Sector,Services,Retail,Average,43.6,,21.3,,56.1,,,,
Czechia,2009,Sector,Services,Other Services,Average,20.6,,15.4,,25.8,,,,
Czechia,2009,Size,,Medium (20-99),Average,15.3,,20.1,,31.4,31,41.2,,
Czechia,2009,Size,,Small (5-19),Average,30.7,,16.4,,31.5,15.6,35.1,,
Czechia,2009,Size,,Large (100+),Average,33.7,,23.7,,32.6,32.3,39.7,,
Czechia,2009,Gender of Top Manager,,Top manager is female,Average,58.4,,100,,43.6,22.2,44.1,,
Czechia,2009,Gender of Top Manager,,Top manager is male,Average,17,,0,,28.7,25.3,37.4,,
Czechia,2013,,,,Average,30.4,7.9,11.3,,34.3,24.7,44.5,,
Czechia,2013,Sector,Manufacturing,All,Average,28.6,9.7,12,,31,24.7,44.5,,
Czechia,2013,Sector,Manufacturing,Manufacturing,Average,28.6,9.7,12,,31,24.7,44.5,,
Czechia,2013,Sector,Services,All,Average,31.7,6.6,10.8,,36.9,,,,
Czechia,2013,Sector,Services,Retail,Average,26.1,18.7,21.3,,46.1,,,,
Czechia,2013,Sector,Services,Other Services,Average,32.8,4.1,8.8,,35.3,,,,
Czechia,2013,Size,,Small (5-19),Average,28.7,11.1,13.1,,37.5,23.9,49,,
Czechia,2013,Size,,Medium (20-99),Average,33.6,3.3,9.7,,31.2,26.1,43,,
Czechia,2013,Size,,Large (100+),Average,28.5,2.5,5.3,,21.1,23.8,32.3,,
Czechia,2013,Gender of Top Manager,,Top manager is female,Average,88.4,57.6,100,,55.3,60.7,71.2,,
Czechia,2013,Gender of Top Manager,,Top manager is male,Average,22.7,1.5,0,,31.8,20.4,41.1,,
Czechia,2019,,,,Average,29.9,16,16.1,,36.1,35.5,43,,
Czechia,2019,Sector,Manufacturing,All,Average,33.4,20,15.2,,36.4,35.5,43,,
Czechia,2019,Sector,Manufacturing,Manufacturing,Average,33.4,20,15.2,,36.4,35.5,43,,
Czechia,2019,Sector,Services,All,Average,28.6,14.5,16.5,,36,,,,
Czechia,2019,Sector,Services,Retail,Average,35.4,21.8,23.3,,62.2,,,,
Czechia,2019,Sector,Services,Other Services,Average,27.3,13.1,15.2,,30.8,,,,
Czechia,2019,Size,,Small (5-19),Average,28.5,18.4,18.6,,36.1,34.7,45,,
Czechia,2019,Size,,Medium (20-99),Average,35.9,11,10.9,,35.8,34.1,39.7,,
Czechia,2019,Size,,Large (100+),Average,23.3,4.4,4.3,,37.9,43.7,44.7,,
Czechia,2019,Gender of Top Manager,,Top manager is female,Average,87,71.3,100,,64.9,63.3,68.8,,
Czechia,2019,Gender of Top Manager,,Top manager is male,Average,18.9,5.4,0,,30.5,30.4,38.7,,
Denmark,2020,,,,Average,31.8,9.2,8.3,,30.4,19.1,37.9,,
Denmark,2020,Sector,Manufacturing,All,Average,29.3,6.5,5.9,,28.2,19.1,37.9,,
Denmark,2020,Sector,Manufacturing,Food,Average,39.9,4.7,12.1,,43.6,23.3,61.7,,
Denmark,2020,Sector,Manufacturing,Rubber & Plastics Products,Average,19.4,4,0,,32.7,28.3,41.3,,
Denmark,2020,Sector,Manufacturing,Non-Metallic Mineral Products,Average,39.2,1.7,2.6,,14.9,9.9,34.8,,
Denmark,2020,Sector,Manufacturing,Fabricated Metal Products,Average,15.5,10.2,8.3,,18,15,28.5,,
Denmark,2020,Sector,Manufacturing,Machinery & Equipment,Average,21.2,5.4,5.4,,20.2,7.4,27.7,,
Denmark,2020,Sector,Manufacturing,Other Manufacturing,Average,32,7.1,5,,29.7,23.6,36.9,,
Denmark,2020,Sector,Services,All,Average,32.7,10.2,9.2,,31.2,,,,
Denmark,2020,Sector,Services,Retail,Average,36.3,19.9,19.3,,49.5,,,,
Denmark,2020,Sector,Services,Other Services,Average,31,5.5,4.5,,22.6,,,,
Denmark,2020,Size,,Small (5-19),Average,30.5,11,8.9,,31.5,22,37.6,,
Denmark,2020,Size,,Medium (20-99),Average,28.1,4.2,8.2,,26.4,14.2,38,,
Denmark,2020,Size,,Large (100+),Average,63.6,12.9,3.1,,35.8,22.9,38.7,,
Denmark,2020,Gender of Top Manager,,Top manager is female,Average,81.1,63.8,100,,57.4,27.5,56.1,,
Denmark,2020,Gender of Top Manager,,Top manager is male,Average,27.1,4.5,0,,27.7,18.7,35.6,,
Djibouti,2013,,,,Average,22.3,7.2,14.2,,26.6,10.3,10.2,,
Djibouti,2013,Sector,Manufacturing,All,Average,21,5.3,15.9,,9,10.3,10.2,,
Djibouti,2013,Sector,Manufacturing,Manufacturing,Average,21,5.3,15.9,,9,10.3,10.2,,
Djibouti,2013,Sector,Services,All,Average,22.6,7.7,13.7,,31.6,,,,
Djibouti,2013,Sector,Services,Retail,Average,13.4,5,6.6,,36.2,,,,
Djibouti,2013,Sector,Services,Other Services,Average,25.2,8.5,15.7,,30.2,,,,
Djibouti,2013,Size,,Small (5-19),Average,19.4,8.2,14.4,,28.4,14.9,8.4,,
Djibouti,2013,Size,,Medium (20-99),Average,26.3,6.8,15.3,,24.7,3,12.7,,
Djibouti,2013,Size,,Large (100+),Average,31.9,0,7.1,,15.4,,,,
Djibouti,2013,Gender of Top Manager,,Top manager is female,Average,85.3,43.7,100,,37,40.8,21.8,,
Djibouti,2013,Gender of Top Manager,,Top manager is male,Average,11.7,1.4,0,,25,3.9,4.4,,
Dominica,2010,,,,Average,41,,23.6,,32.1,,,,
Dominica,2010,Sector,Manufacturing,All,Average,36.2,,20.7,,36,,,,
Dominica,2010,Sector,Manufacturing,Manufacturing,Average,36.2,,20.7,,36,,,,
Dominica,2010,Sector,Services,All,Average,41.6,,24,,31.7,,,,
Dominica,2010,Sector,Services,Services,Average,41.6,,24,,31.7,,,,
Dominica,2010,Size,,Small (5-19),Average,43.5,,23.8,,32.8,,,,
Dominica,2010,Size,,Medium (20-99),Average,29,,26.9,,27.4,,,,
Dominica,2010,Size,,Large (100+),Average,n.a.,,n.a.,,n.a.,,,,
Dominica,2010,Gender of Top Manager,,Top manager is female,Average,77.8,,100,,31.4,,,,
Dominica,2010,Gender of Top Manager,,Top manager is male,Average,29.6,,0,,32.4,,,,
Dominican Republic,2010,,,,Average,30,,11,,36,16.4,33.9,,
Dominican Republic,2010,Sector,Manufacturing,All,Average,33.9,,8.1,,21.8,16.4,33.9,,
Dominican Republic,2010,Sector,Manufacturing,Manufacturing,Average,33.9,,8.1,,21.8,16.4,33.9,,
Dominican Republic,2010,Sector,Services,All,Average,28.7,,11.9,,40.9,,,,
Dominican Republic,2010,Sector,Services,Retail,Average,32.2,,15.9,,38.1,,,,
Dominican Republic,2010,Sector,Services,Other Services,Average,27.1,,10.1,,42.3,,,,
Dominican Republic,2010,Size,,Medium (20-99),Average,38.8,,13.2,,31.4,19.4,30.1,,
Dominican Republic,2010,Size,,Small (5-19),Average,25.7,,10,,39.4,10.6,34.3,,
Dominican Republic,2010,Size,,Large (100+),Average,28.5,,9.6,,27.6,27.6,43.7,,
Dominican Republic,2010,Gender of Top Manager,,Top manager is female,Average,60.4,,100,,50.8,17.4,35.7,,
Dominican Republic,2010,Gender of Top Manager,,Top manager is male,Average,26.3,,0,,34,15.8,33.2,,
Dominican Republic,2016,,,,Average,32.2,13.4,21.2,,33.6,31.8,57.9,,
Dominican Republic,2016,Sector,Manufacturing,All,Average,52.9,11.2,11.6,,38.8,31.8,57.9,,
Dominican Republic,2016,Sector,Manufacturing,Manufacturing,Average,52.9,11.2,11.6,,38.8,31.8,57.9,,
Dominican Republic,2016,Sector,Services,All,Average,28.4,13.8,23,,32.7,,,,
Dominican Republic,2016,Sector,Services,Retail,Average,36.1,20.2,24.3,,38,,,,
Dominican Republic,2016,Sector,Services,Other Services,Average,20.4,7.4,21.7,,27.1,,,,
Dominican Republic,2016,Size,,Small (5-19),Average,32.6,17.3,25,,35.9,41.4,71.2,,
Dominican Republic,2016,Size,,Medium (20-99),Average,35.6,8.2,12.8,,29,19.1,55.5,,
Dominican Republic,2016,Size,,Large (100+),Average,21.6,1.4,18.1,,29.9,45,43.3,,
Dominican Republic,2016,Gender of Top Manager,,Top manager is female,Average,62.1,42.6,100,,43.5,19.5,78.8,,
Dominican Republic,2016,Gender of Top Manager,,Top manager is male,Average,24.4,5.8,0,,30.8,33.5,55,,
Ecuador,2006,,,,Average,32.7,,,,24.2,15.6,49.6,,
Ecuador,2006,Sector,Manufacturing,All,Average,24.7,,,,24.2,15.6,49.6,,
Ecuador,2006,Sector,Manufacturing,Food,Average,35.2,,,,30.9,23.5,49.3,,
Ecuador,2006,Sector,Manufacturing,Garments,Average,48.2,,,,80.6,87,68.9,,
Ecuador,2006,Sector,Manufacturing,Chemicals & Chemical Products,Average,38.6,,,,35.5,25.2,52,,
Ecuador,2006,Sector,Manufacturing,Manufacturing,Average,n.a.,,,,,,,,
Ecuador,2006,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,21.2,,,,19.9,10.7,48.7,,
Ecuador,2006,Sector,Services,All,Average,38.5,,,,,,,,
Ecuador,2006,Sector,Services,Retail,Average,41.7,,,,,,,,
Ecuador,2006,Sector,Services,Services,Average,n.a.,,,,,,,,
Ecuador,2006,Sector,Services,Rest of Universe-Services,Average,33.8,,,,,,,,
Ecuador,2006,Size,,Small (5-19),Average,36.8,,,,23.1,12.7,48.9,,
Ecuador,2006,Size,,Medium (20-99),Average,28.1,,,,25,16.8,53.4,,
Ecuador,2006,Size,,Large (100+),Average,23.4,,,,26.5,23.2,45.2,,
Ecuador,2010,,,,Average,24.1,,17,,35.6,19.2,55.2,,
Ecuador,2010,Sector,Manufacturing,All,Average,22.2,,16.7,,32.6,19.2,55.2,,
Ecuador,2010,Sector,Manufacturing,Manufacturing,Average,22.2,,16.7,,32.6,19.2,55.2,,
Ecuador,2010,Sector,Services,All,Average,24.8,,17.1,,36.6,,,,
Ecuador,2010,Sector,Services,Retail,Average,45.1,,28.4,,46.7,,,,
Ecuador,2010,Sector,Services,Other Services,Average,22.8,,16,,35.6,,,,
Ecuador,2010,Size,,Medium (20-99),Average,17.1,,17.3,,32.3,25.5,46.8,,
Ecuador,2010,Size,,Small (5-19),Average,28.5,,18.7,,37.9,15.4,63.7,,
Ecuador,2010,Size,,Large (100+),Average,15,,4.1,,28.5,17.4,43.3,,
Ecuador,2010,Gender of Top Manager,,Top manager is female,Average,69.8,,100,,49.9,11.3,61.9,,
Ecuador,2010,Gender of Top Manager,,Top manager is male,Average,14.9,,0,,32.6,21.1,53.6,,
Ecuador,2017,,,,Average,70.4,17.7,22.9,,34.2,20.8,50.3,,
Ecuador,2017,Sector,Manufacturing,All,Average,66.8,13.1,21.3,,28.7,20.8,50.3,,
Ecuador,2017,Sector,Manufacturing,Manufacturing,Average,66.8,13.1,21.3,,28.7,20.8,50.3,,
Ecuador,2017,Sector,Services,All,Average,71.2,18.7,23.3,,35.5,,,,
Ecuador,2017,Sector,Services,Retail,Average,75.6,30,35.9,,44.3,,,,
Ecuador,2017,Sector,Services,Other Services,Average,69.7,14.8,18.7,,32.3,,,,
Ecuador,2017,Size,,Small (5-19),Average,70.1,21.1,25.4,,40.2,28.9,65.1,,
Ecuador,2017,Size,,Medium (20-99),Average,72.7,14.7,23.7,,24.2,17.2,43.5,,
Ecuador,2017,Size,,Large (100+),Average,66.3,3.4,5.8,,23.6,16.4,39.8,,
